Id,Type,Quantity,Sales,Shipping,Customer Name,Province,Region
53,Office Supplies,22,129.62,Regular Air,Beth Thompson,Nunavut,Nunavut
54,Furniture,12,118.97,Regular Air,Frank Price,Nunavut,Nunavut
55,Technology,8,61.8715,Regular Air,Michelle Lonsdale,Nunavut,Nunavut
56,Office Supplies,7,384.33,Regular Air,Ann Chong,Nunavut,Nunavut
57,Office Supplies,3,239.03,Regular Air,Ann Chong,Nunavut,Nunavut
58,Furniture,44,3922.42,Regular Air,Joy Bell,Nunavut,Nunavut
59,Technology,25,1733.3625,Regular Air,Joy Bell,Nunavut,Nunavut
60,Office Supplies,19,208.28,Regular Air,Skye Norling,Nunavut,Nunavut
61,Office Supplies,6,9620.82,Regular Air,Barry Weirich,Nunavut,Nunavut
62,Office Supplies,40,255.48,Regular Air,Grant Carroll,Nunavut,Nunavut
63,Office Supplies,18,130.32,Express Air,Grant Carroll,Nunavut,Nunavut
64,Office Supplies,11,312.36,Express Air,Adrian Hane,Nunavut,Nunavut
65,Office Supplies,41,217,Regular Air,Skye Norling,Nunavut,Nunavut
66,Office Supplies,47,296.13,Regular Air,Skye Norling,Nunavut,Nunavut
67,Office Supplies,40,436.17,Express Air,Andrew Gjertsen,Nunavut,Nunavut
68,Office Supplies,18,136.29,Regular Air,Ralph Knight,Nunavut,Nunavut
69,Technology,32,1311.25,Express Air,Dorothy Wardle,Nunavut,Nunavut
70,Furniture,5,544.41,Delivery Truck,Dorothy Wardle,Nunavut,Nunavut
71,Furniture,41,844.09,Regular Air,Dorothy Wardle,Nunavut,Nunavut
72,Furniture,22,6396.2,Regular Air,Grant Carroll,Nunavut,Nunavut
73,Office Supplies,50,751.77,Regular Air,Barry Weirich,Nunavut,Nunavut
74,Office Supplies,37,1003.06,Regular Air,Beth Paige,Nunavut,Nunavut
75,Furniture,4,1266.72,Delivery Truck,Sylvia Foulston,Nunavut,Nunavut
76,Office Supplies,19,368.04,Express Air,Nicole Hansen,Nunavut,Nunavut
77,Office Supplies,24,152.6,Regular Air,Nicole Hansen,Nunavut,Nunavut
78,Office Supplies,40,3338.98,Regular Air,Nicole Hansen,Nunavut,Nunavut
79,Office Supplies,5,24.16,Express Air,Beth Paige,Nunavut,Nunavut
80,Office Supplies,41,270.84,Express Air,Beth Paige,Northwest Territories,Northwest Territories
81,Furniture,35,3389.93,Express Air,Beth Paige,Northwest Territories,Northwest Territories
82,Office Supplies,42,266.36,Regular Air,Beth Paige,Northwest Territories,Northwest Territories
83,Office Supplies,46,89.41,Regular Air,Beth Paige,Northwest Territories,Northwest Territories
84,Office Supplies,47,2799.7,Regular Air,Sylvia Foulston,Northwest Territories,Northwest Territories
85,Office Supplies,7,2039.56,Express Air,Bryan Davis,Northwest Territories,Northwest Territories
86,Furniture,36,12175.82,Delivery Truck,Joy Bell,Northwest Territories,Northwest Territories
87,Office Supplies,5,101.21,Express Air,Joy Bell,Northwest Territories,Northwest Territories
88,Office Supplies,32,1585.64,Regular Air,Joy Bell,Northwest Territories,Northwest Territories
89,Office Supplies,44,176.26,Regular Air,Alan Barnes,Northwest Territories,Northwest Territories
90,Furniture,32,4655.07,Delivery Truck,Grant Carroll,Northwest Territories,Northwest Territories
91,Furniture,44,10087.6,Regular Air,Grant Carroll,Northwest Territories,Northwest Territories
92,Technology,34,1608.08,Express Air,Grant Carroll,Northwest Territories,Northwest Territories
93,Office Supplies,1,12.18,Regular Air,Delfina Latchford,Northwest Territories,Northwest Territories
94,Office Supplies,50,820.52,Regular Air,Don Jones,Northwest Territories,Northwest Territories
95,Furniture,29,6250.936,Delivery Truck,Doug Bickford,Northwest Territories,Northwest Territories
96,Furniture,25,854.88,Regular Air,Doug Bickford,Northwest Territories,Northwest Territories
97,Office Supplies,46,80.27,Regular Air,Doug Bickford,Northwest Territories,Northwest Territories
98,Office Supplies,15,308.54,Express Air,Jamie Kunitz,Northwest Territories,Northwest Territories
99,Office Supplies,20,400.57,Regular Air,Anthony Johnson,Northwest Territories,Northwest Territories
100,Technology,14,1170.025,Regular Air,Ralph Knight,Northwest Territories,Northwest Territories
101,Office Supplies,48,5188.86,Regular Air,Allen Rosenblatt,Northwest Territories,Northwest Territories
102,Office Supplies,8,339.81,Regular Air,Barry Weirich,Northwest Territories,Northwest Territories
103,Furniture,15,1519.9,Regular Air,Doug Bickford,Northwest Territories,Northwest Territories
104,Office Supplies,30,102.24,Regular Air,Carl Jackson,Northwest Territories,Northwest Territories
105,Furniture,6,965.69,Delivery Truck,Brendan Dodson,Northwest Territories,Northwest Territories
106,Office Supplies,25,397.84,Regular Air,Edward Hooks,Northwest Territories,Northwest Territories
107,Office Supplies,4,73.07,Regular Air,Jamie Kunitz,Northwest Territories,Northwest Territories
108,Furniture,26,4679.1,Delivery Truck,Jamie Kunitz,Northwest Territories,Northwest Territories
109,Technology,46,8009.5925,Regular Air,Michelle Lonsdale,Northwest Territories,Northwest Territories
110,Furniture,23,4689.66,Regular Air,Michelle Lonsdale,Northwest Territories,Northwest Territories
111,Technology,25,3019.41,Regular Air,Brendan Dodson,Northwest Territories,Northwest Territories
112,Office Supplies,5,36.86,Regular Air,Hunter Glantz,Northwest Territories,Northwest Territories
113,Technology,12,22079.47,Regular Air,Sylvia Foulston,Northwest Territories,Northwest Territories
114,Furniture,24,5407.31,Delivery Truck,Eugene Barchas,Northwest Territories,Northwest Territories
115,Furniture,34,74.3,Regular Air,Jim Radford,Northwest Territories,Northwest Territories
116,Technology,44,21506.77,Regular Air,Carlos Soltero,Northwest Territories,Northwest Territories
117,Office Supplies,28,669.02,Delivery Truck,Carlos Soltero,Northwest Territories,Northwest Territories
118,Office Supplies,40,1143.49,Regular Air,Carlos Soltero,Northwest Territories,Northwest Territories
119,Office Supplies,46,78.08,Regular Air,Carlos Soltero,Northwest Territories,Northwest Territories
120,Furniture,19,5297.47,Delivery Truck,Jim Radford,Northwest Territories,Northwest Territories
121,Office Supplies,20,95.3,Regular Air,Jim Radford,Northwest Territories,Northwest Territories
122,Office Supplies,40,460.68,Regular Air,Grant Carroll,Northwest Territories,Northwest Territories
123,Technology,49,318.7585,Regular Air,Grant Carroll,Northwest Territories,Northwest Territories
124,Office Supplies,47,1020.61,Regular Air,Skye Norling,Northwest Territories,Northwest Territories
125,Office Supplies,44,268.34,Regular Air,Doug Bickford,Northwest Territories,Northwest Territories
126,Office Supplies,6,209,Regular Air,Grant Carroll,Northwest Territories,Northwest Territories
127,Office Supplies,30,501.32,Regular Air,Muhammed MacIntyre,Northwest Territories,Northwest Territories
128,Office Supplies,23,275.16,Express Air,Muhammed MacIntyre,Northwest Territories,Northwest Territories
129,Office Supplies,37,1302.99,Regular Air,Muhammed MacIntyre,Northwest Territories,Northwest Territories
130,Office Supplies,1,40.1,Regular Air,Doug Bickford,Northwest Territories,Northwest Territories
131,Office Supplies,42,1414.05,Regular Air,Doug Bickford,Northwest Territories,Northwest Territories
132,Furniture,34,5350.61,Delivery Truck,Beth Thompson,Northwest Territories,Northwest Territories
133,Technology,15,310.87,Regular Air,Ralph Knight,Northwest Territories,Northwest Territories
134,Office Supplies,48,9062.73,Regular Air,Carl Jackson,Northwest Territories,Northwest Territories
135,Furniture,27,1584.1,Delivery Truck,Carl Jackson,Northwest Territories,Northwest Territories
136,Furniture,42,283.58,Regular Air,Dorothy Badders,Northwest Territories,Northwest Territories
137,Technology,39,5403.37,Delivery Truck,Dorothy Badders,Northwest Territories,Northwest Territories
138,Office Supplies,35,82.15,Regular Air,Dorothy Badders,Northwest Territories,Northwest Territories
139,Office Supplies,50,2066.16,Regular Air,Delfina Latchford,Northwest Territories,Northwest Territories
140,Furniture,18,4605.36,Delivery Truck,Julia West,Northwest Territories,Northwest Territories
141,Furniture,42,1753.51,Regular Air,Julia West,Northwest Territories,Northwest Territories
142,Furniture,31,426.34,Regular Air,Brad Eason,Northwest Territories,Northwest Territories
143,Furniture,36,1837.44,Delivery Truck,Thomas Seio,Northwest Territories,Northwest Territories
144,Furniture,36,3722.29,Express Air,Thomas Seio,Northwest Territories,Northwest Territories
145,Office Supplies,4,28.05,Regular Air,Thomas Seio,Northwest Territories,Northwest Territories
146,Technology,32,311.44,Regular Air,Monica Federle,Northwest Territories,Northwest Territories
147,Furniture,17,215.65,Express Air,Monica Federle,Northwest Territories,Northwest Territories
148,Technology,3,121.12,Regular Air,Michelle Lonsdale,Northwest Territories,Northwest Territories
149,Office Supplies,8,300.2,Regular Air,Frank Price,Northwest Territories,Northwest Territories
150,Technology,29,1364.8025,Regular Air,Frank Price,Northwest Territories,Northwest Territories
151,Office Supplies,19,128.21,Regular Air,Bryan Davis,Northwest Territories,Northwest Territories
152,Office Supplies,9,252.79,Regular Air,Don Jones,Northwest Territories,Northwest Territories
153,Office Supplies,10,50.97,Regular Air,Carlos Soltero,Northwest Territories,Northwest Territories
154,Office Supplies,1,4.99,Regular Air,Carlos Soltero,Northwest Territories,Northwest Territories
155,Furniture,30,10554.63,Delivery Truck,Nicole Hansen,Northwest Territories,Northwest Territories
156,Furniture,8,1749.64,Delivery Truck,Nicole Hansen,Northwest Territories,Northwest Territories
157,Furniture,47,1943.72,Regular Air,Beth Thompson,Northwest Territories,Northwest Territories
158,Office Supplies,6,18.37,Regular Air,Beth Thompson,Northwest Territories,Northwest Territories
159,Technology,49,6175.777,Express Air,Beth Thompson,Northwest Territories,Northwest Territories
160,Office Supplies,6,157.97,Regular Air,Nicole Hansen,Northwest Territories,Northwest Territories
161,Office Supplies,25,144.84,Regular Air,Carlos Soltero,Northwest Territories,Northwest Territories
162,Office Supplies,20,127.16,Regular Air,Carlos Soltero,Northwest Territories,Northwest Territories
163,Technology,4,5472.12,Delivery Truck,Dorothy Badders,Northwest Territories,Northwest Territories
164,Furniture,7,1810.67,Delivery Truck,Muhammed MacIntyre,Northwest Territories,Northwest Territories
165,Technology,31,633.56,Regular Air,Muhammed MacIntyre,Northwest Territories,Northwest Territories
166,Office Supplies,27,644.4,Regular Air,Don Miller,Northwest Territories,Northwest Territories
167,Furniture,7,1211.98,Delivery Truck,Sylvia Foulston,Northwest Territories,Northwest Territories
168,Furniture,27,3316.08,Delivery Truck,Becky Castell,Northwest Territories,Northwest Territories
169,Office Supplies,48,207.08,Regular Air,Dorothy Wardle,Northwest Territories,Northwest Territories
170,Office Supplies,8,234.28,Regular Air,Dorothy Wardle,Northwest Territories,Northwest Territories
171,Technology,41,1779.8915,Regular Air,Dorothy Wardle,Northwest Territories,Northwest Territories
172,Office Supplies,30,114.12,Regular Air,Ann Chong,Northwest Territories,Northwest Territories
173,Technology,15,436.05,Regular Air,Ann Chong,Northwest Territories,Northwest Territories
174,Technology,49,5247.4835,Regular Air,Ann Chong,Northwest Territories,Northwest Territories
175,Technology,9,173.417,Regular Air,Clay Rozendal,Northwest Territories,Northwest Territories
176,Office Supplies,18,23792.93,Regular Air,Grant Carroll,Northwest Territories,Northwest Territories
177,Office Supplies,21,256.12,Regular Air,Brendan Dodson,Northwest Territories,Northwest Territories
178,Office Supplies,30,387,Express Air,Carlos Daly,Northwest Territories,Northwest Territories
179,Technology,31,1143.45,Regular Air,Alan Barnes,Northwest Territories,Northwest Territories
180,Technology,2,42.31,Regular Air,Alan Barnes,Northwest Territories,Northwest Territories
181,Office Supplies,11,152.67,Regular Air,Alan Barnes,Northwest Territories,Northwest Territories
182,Office Supplies,49,82.61,Regular Air,Nicole Hansen,Northwest Territories,Northwest Territories
183,Furniture,31,789.94,Delivery Truck,Cari Schnelling,Northwest Territories,Northwest Territories
184,Office Supplies,42,435.24,Express Air,Chad Cunningham,Northwest Territories,Northwest Territories
185,Office Supplies,8,473.7,Regular Air,Bryan Mills,Northwest Territories,Northwest Territories
186,Technology,33,553.5625,Regular Air,Bryan Mills,Northwest Territories,Northwest Territories
187,Office Supplies,32,54.78,Regular Air,Adrian Hane,Northwest Territories,Northwest Territories
188,Office Supplies,47,304.83,Regular Air,Adrian Hane,Northwest Territories,Northwest Territories
189,Technology,31,16066.85,Regular Air,Rick Reed,Northwest Territories,Northwest Territories
190,Office Supplies,17,618.9,Regular Air,Heather Kirkland,Northwest Territories,Northwest Territories
191,Technology,35,1665.0395,Regular Air,Fred Wasserman,Northwest Territories,Northwest Territories
192,Furniture,21,1049.79,Regular Air,Becky Castell,Northwest Territories,Northwest Territories
193,Office Supplies,16,817.18,Regular Air,Becky Castell,Northwest Territories,Northwest Territories
194,Furniture,49,465.83,Regular Air,Beth Thompson,Northwest Territories,Northwest Territories
195,Technology,13,241.706,Regular Air,Claudia Miner,Northwest Territories,Northwest Territories
196,Technology,44,275.91,Regular Air,Jack Lebron,Northwest Territories,Northwest Territories
197,Office Supplies,2,30.83,Express Air,Alan Barnes,Northwest Territories,Northwest Territories
198,Office Supplies,13,121.66,Regular Air,Carlos Soltero,Northwest Territories,Northwest Territories
199,Office Supplies,16,108.42,Regular Air,Clay Rozendal,Northwest Territories,Northwest Territories
200,Office Supplies,27,78.47,Regular Air,Clay Rozendal,Northwest Territories,Northwest Territories
201,Furniture,30,26133.39,Delivery Truck,Julia West,Northwest Territories,Northwest Territories
202,Technology,14,2671.21,Delivery Truck,Alan Barnes,Northwest Territories,Northwest Territories
203,Technology,26,531.66,Regular Air,Joy Bell,Northwest Territories,Northwest Territories
204,Office Supplies,28,317.85,Regular Air,Joy Bell,Northwest Territories,Northwest Territories
205,Office Supplies,42,163.08,Regular Air,Joy Bell,Northwest Territories,Northwest Territories
206,Office Supplies,38,103.07,Regular Air,Jack Lebron,Northwest Territories,Northwest Territories
207,Technology,1,17.19,Regular Air,Anthony Johnson,Northwest Territories,Northwest Territories
208,Technology,27,2689.48,Regular Air,Anthony Johnson,Northwest Territories,Northwest Territories
209,Office Supplies,2,15.31,Regular Air,Anthony Johnson,Northwest Territories,Northwest Territories
210,Office Supplies,13,270.63,Regular Air,Eugene Barchas,Northwest Territories,Northwest Territories
211,Technology,43,6583.913,Regular Air,Eugene Barchas,Northwest Territories,Northwest Territories
212,Technology,24,4865.72,Delivery Truck,Thomas Seio,Northwest Territories,Northwest Territories
213,Furniture,23,1003.31,Regular Air,Bryan Mills,Northwest Territories,Northwest Territories
214,Furniture,17,6048.18,Delivery Truck,Bryan Mills,Northwest Territories,Northwest Territories
215,Technology,41,3051.27,Delivery Truck,Eugene Barchas,Northwest Territories,Northwest Territories
216,Furniture,47,9633.59,Delivery Truck,Sylvia Foulston,Northwest Territories,Northwest Territories
217,Furniture,26,3758.77,Regular Air,Sylvia Foulston,Northwest Territories,Northwest Territories
218,Furniture,6,143.78,Regular Air,Carl Ludwig,Northwest Territories,Northwest Territories
219,Furniture,22,440.92,Express Air,Julia West,Northwest Territories,Northwest Territories
220,Technology,3,4343.51,Delivery Truck,Don Jones,Northwest Territories,Northwest Territories
221,Technology,29,593.32,Regular Air,Mike Pelletier,Northwest Territories,Northwest Territories
222,Office Supplies,26,626.07,Express Air,Mike Pelletier,Northwest Territories,Northwest Territories
223,Office Supplies,24,557.23,Regular Air,Eugene Barchas,Northwest Territories,Northwest Territories
224,Technology,7,261.88,Regular Air,Ann Chong,Northwest Territories,Northwest Territories
225,Office Supplies,15,593.73,Regular Air,Ann Chong,Northwest Territories,Northwest Territories
226,Office Supplies,49,120.77,Regular Air,Charles McCrossin,Northwest Territories,Northwest Territories
227,Furniture,22,795.74,Delivery Truck,Annie Cyprus,Northwest Territories,Northwest Territories
228,Technology,31,251.75,Regular Air,Annie Cyprus,Northwest Territories,Northwest Territories
229,Office Supplies,36,697.41,Regular Air,Carlos Soltero,Northwest Territories,Northwest Territories
230,Furniture,30,4684.9,Delivery Truck,Doug Bickford,Northwest Territories,Northwest Territories
231,Furniture,6,905.94,Express Air,Carlos Daly,Northwest Territories,Northwest Territories
232,Office Supplies,12,270.23,Regular Air,Fred Wasserman,Northwest Territories,Northwest Territories
233,Office Supplies,20,660.27,Express Air,Fred Wasserman,Northwest Territories,Northwest Territories
234,Office Supplies,11,32.4,Regular Air,Sylvia Foulston,Northwest Territories,Northwest Territories
235,Technology,26,4688.9485,Regular Air,Michelle Lonsdale,Northwest Territories,Northwest Territories
236,Office Supplies,8,50.7,Regular Air,Sylvia Foulston,Northwest Territories,Northwest Territories
237,Technology,10,90.06,Express Air,Sylvia Foulston,Northwest Territories,Northwest Territories
238,Furniture,22,338.52,Regular Air,Sylvia Foulston,Northwest Territories,Northwest Territories
239,Technology,48,6109.817,Regular Air,Sylvia Foulston,Northwest Territories,Northwest Territories
240,Furniture,1,34.11,Regular Air,Charlotte Melton,Northwest Territories,Northwest Territories
241,Technology,48,538.22,Regular Air,Barry French,Northwest Territories,Northwest Territories
242,Technology,11,1064.23,Regular Air,Heather Kirkland,Northwest Territories,Northwest Territories
243,Office Supplies,18,3497.05,Regular Air,Heather Kirkland,Northwest Territories,Northwest Territories
244,Technology,44,774.0525,Express Air,Heather Kirkland,Northwest Territories,Northwest Territories
245,Furniture,3,74.05,Regular Air,Henry Goldwyn,Northwest Territories,Northwest Territories
246,Technology,37,5753.85,Regular Air,Frank Price,Northwest Territories,Northwest Territories
247,Office Supplies,48,18235.47,Delivery Truck,Jim Radford,Northwest Territories,Northwest Territories
248,Technology,16,2631.107,Regular Air,Jim Radford,Northwest Territories,Northwest Territories
249,Office Supplies,32,209.42,Regular Air,Ralph Knight,Northwest Territories,Northwest Territories
250,Office Supplies,32,324.4,Regular Air,Delfina Latchford,Northwest Territories,Northwest Territories
251,Office Supplies,19,137.02,Regular Air,Delfina Latchford,Northwest Territories,Northwest Territories
252,Office Supplies,1,232.67,Regular Air,Roy Skaria,Northwest Territories,Northwest Territories
253,Furniture,34,4805.92,Delivery Truck,Roy Skaria,Northwest Territories,Northwest Territories
254,Office Supplies,1,62.26,Regular Air,Monica Federle,Northwest Territories,Northwest Territories
255,Office Supplies,47,58.53,Regular Air,Monica Federle,Northwest Territories,Northwest Territories
256,Office Supplies,31,157.79,Regular Air,Charles McCrossin,Northwest Territories,Northwest Territories
257,Office Supplies,19,376.21,Regular Air,Don Miller,Northwest Territories,Northwest Territories
258,Office Supplies,37,1601.24,Regular Air,Jeremy Lonsdale,Northwest Territories,Northwest Territories
259,Office Supplies,40,501.31,Regular Air,Jeremy Lonsdale,Northwest Territories,Northwest Territories
260,Office Supplies,2,24.96,Regular Air,Grant Carroll,Northwest Territories,Northwest Territories
261,Office Supplies,31,166.76,Regular Air,Carl Ludwig,Northwest Territories,Northwest Territories
262,Office Supplies,2,811.13,Regular Air,Carlos Daly,Northwest Territories,Northwest Territories
263,Technology,15,822.8425,Regular Air,Ralph Knight,Northwest Territories,Northwest Territories
264,Technology,35,3310.9455,Regular Air,Cindy Schnelling,Northwest Territories,Northwest Territories
265,Technology,10,55.02,Regular Air,Claudia Miner,Northwest Territories,Northwest Territories
266,Office Supplies,10,192.58,Regular Air,Roy Skaria,Northwest Territories,Northwest Territories
267,Office Supplies,40,291.67,Regular Air,Delfina Latchford,Northwest Territories,Northwest Territories
268,Office Supplies,50,281.39,Regular Air,Edward Hooks,Northwest Territories,Northwest Territories
269,Technology,49,12593.91,Delivery Truck,Edward Hooks,Northwest Territories,Northwest Territories
270,Furniture,22,6123.94,Delivery Truck,Don Miller,Northwest Territories,Northwest Territories
271,Office Supplies,49,19325.2,Regular Air,Grant Carroll,Northwest Territories,Northwest Territories
272,Furniture,48,8380.22,Delivery Truck,Grant Carroll,Northwest Territories,Northwest Territories
273,Office Supplies,11,35.17,Regular Air,Brad Eason,Northwest Territories,Northwest Territories
274,Technology,35,17387.65,Regular Air,Charles McCrossin,Northwest Territories,Northwest Territories
275,Office Supplies,44,6040.22,Regular Air,Charles McCrossin,Northwest Territories,Northwest Territories
276,Office Supplies,17,691.59,Regular Air,Charles McCrossin,Northwest Territories,Northwest Territories
277,Office Supplies,45,345.2,Regular Air,Charles McCrossin,Northwest Territories,Northwest Territories
278,Technology,36,1955.0765,Regular Air,Bryan Mills,Northwest Territories,Northwest Territories
279,Office Supplies,27,217.93,Regular Air,Monica Federle,Northwest Territories,Northwest Territories
280,Furniture,6,254.76,Regular Air,Michelle Lonsdale,Northwest Territories,Northwest Territories
281,Furniture,21,6806.66,Delivery Truck,Michelle Lonsdale,Northwest Territories,Northwest Territories
282,Furniture,3,891.61,Delivery Truck,Michelle Lonsdale,Northwest Territories,Northwest Territories
283,Technology,5,165.04,Regular Air,Michelle Lonsdale,Northwest Territories,Northwest Territories
284,Office Supplies,2,789.01,Regular Air,Beth Thompson,Northwest Territories,Northwest Territories
285,Furniture,4,97.57,Regular Air,Cindy Schnelling,Northwest Territories,Northwest Territories
286,Office Supplies,31,110.32,Regular Air,Cindy Schnelling,Northwest Territories,Northwest Territories
287,Office Supplies,26,321.68,Regular Air,Nicole Hansen,Northwest Territories,Northwest Territories
288,Office Supplies,34,971.95,Express Air,Nicole Hansen,Northwest Territories,Northwest Territories
289,Office Supplies,23,2149.03,Regular Air,Nicole Hansen,Northwest Territories,Northwest Territories
290,Office Supplies,12,3671.3,Regular Air,Cari Schnelling,Northwest Territories,Northwest Territories
291,Technology,42,1763.6,Regular Air,Cari Schnelling,Northwest Territories,Northwest Territories
292,Office Supplies,14,403.17,Regular Air,Roy Skaria,Northwest Territories,Northwest Territories
293,Office Supplies,15,89.97,Regular Air,Susan Vittorini,Northwest Territories,Northwest Territories
294,Office Supplies,28,456.91,Express Air,Susan Vittorini,Northwest Territories,Northwest Territories
295,Office Supplies,46,249.02,Regular Air,Sylvia Foulston,Northwest Territories,Northwest Territories
296,Office Supplies,41,78.49,Regular Air,Sylvia Foulston,Northwest Territories,Northwest Territories
297,Office Supplies,4,40.72,Express Air,Chad Cunningham,Northwest Territories,Northwest Territories
298,Office Supplies,27,113.3,Regular Air,Chad Cunningham,Northwest Territories,Northwest Territories
299,Technology,8,1219.19,Regular Air,Carlos Daly,Northwest Territories,Northwest Territories
300,Office Supplies,15,28.68,Regular Air,Carlos Daly,Northwest Territories,Northwest Territories
301,Office Supplies,19,3548.67,Regular Air,Grant Carroll,Northwest Territories,Northwest Territories
302,Furniture,8,178.78,Regular Air,Julia West,Northwest Territories,Northwest Territories
303,Furniture,41,6045.98,Delivery Truck,Roy Skaria,Northwest Territories,Northwest Territories
304,Technology,3,56.695,Regular Air,Cindy Schnelling,Northwest Territories,Northwest Territories
305,Technology,24,1350.531,Regular Air,Don Jones,Northwest Territories,Northwest Territories
306,Office Supplies,20,100.4,Regular Air,Beth Thompson,Northwest Territories,Northwest Territories
307,Office Supplies,19,327.15,Regular Air,Beth Thompson,Northwest Territories,Northwest Territories
308,Office Supplies,11,30.51,Regular Air,Alan Barnes,Northwest Territories,Northwest Territories
309,Office Supplies,8,127.8,Regular Air,Alan Barnes,Northwest Territories,Northwest Territories
310,Technology,4,242.36,Regular Air,Carl Ludwig,Northwest Territories,Northwest Territories
311,Office Supplies,25,802.19,Regular Air,Carl Ludwig,Northwest Territories,Northwest Territories
312,Office Supplies,4,63.52,Express Air,Carl Ludwig,Northwest Territories,Northwest Territories
313,Office Supplies,13,371.94,Regular Air,Jamie Kunitz,Northwest Territories,Northwest Territories
314,Office Supplies,31,349.43,Regular Air,Heather Kirkland,Northwest Territories,Northwest Territories
315,Office Supplies,3,58.33,Regular Air,Heather Kirkland,Northwest Territories,Northwest Territories
316,Office Supplies,47,10377.22,Delivery Truck,Heather Kirkland,Northwest Territories,Northwest Territories
317,Office Supplies,14,140.66,Regular Air,Doug Bickford,Northwest Territories,Northwest Territories
